transaction_date_month,Average Monthly Spending,Monthly Turnover,Monthly Inflow,Monthly Outflow
1,115.00200956937798,24035.42,13118.99,10916.43
2,131.57108808290155,25393.22,13811.04,11582.18
3,110.46096618357487,22865.42,10399.61,12465.81
4,113.8725283018868,30176.22,17195.91,12980.31
5,171.73261992619928,46539.54,22813.20,23726.34
6,103.92656716417912,20889.24,9800.84,11088.40
7,106.4804,21296.08,9802.84,11493.24
8,116.44746781115879,27132.26,13611.29,13520.97
9,105.54034653465347,21319.15,10342.03,10977.12
10,108.96052173913043,25060.92,12585.08,12475.84
11,102.07477678571429,22864.75,10518.97,12345.78
12,97.15818181818182,23512.28,11437.98,12074.30
